twin_a,twin_b,layer,weight
twin-0076,twin-0084,contact,1.0
twin-0077,twin-0078,contact,1.0
twin-0077,twin-0079,contact,1.0
twin-0077,twin-0080,contact,1.0
twin-0078,twin-0079,contact,1.0
twin-0078,twin-0080,contact,1.0
twin-0079,twin-0080,contact,1.0
twin-0081,twin-0082,contact,1.0
twin-0081,twin-0083,contact,1.0
twin-0081,twin-0084,contact,1.0
twin-0081,twin-0085,contact,1.0
twin-0081,twin-0086,contact,1.0
twin-0081,twin-0087,contact,1.0
twin-0081,twin-0088,contact,1.0
twin-0081,twin-0089,contact,1.0
twin-0082,twin-0083,contact,1.0
twin-0082,twin-0084,contact,1.0
twin-0082,twin-0085,contact,1.0
twin-0082,twin-0086,contact,1.0
twin-0082,twin-0087,contact,1.0
twin-0082,twin-0088,contact,1.0
twin-0083,twin-0084,contact,1.0
twin-0083,twin-0085,contact,1.0
twin-0083,twin-0086,contact,1.0
twin-0083,twin-0087,contact,1.0
twin-0083,twin-0088,contact,1.0
twin-0084,twin-0085,contact,1.0
twin-0084,twin-0086,contact,1.0
twin-0084,twin-0087,contact,1.0
twin-0084,twin-0088,contact,1.0
twin-0084,twin-0092,contact,1.0
twin-0085,twin-0086,contact,1.0
twin-0085,twin-0087,contact,1.0
twin-0085,twin-0088,contact,1.0
twin-0086,twin-0087,contact,1.0
twin-0086,twin-0088,contact,1.0
twin-0087,twin-0088,contact,1.0
twin-0089,twin-0090,contact,1.0
twin-0089,twin-0091,contact,1.0
twin-0089,twin-0092,contact,1.0
twin-0089,twin-0093,contact,1.0
twin-0089,twin-0094,contact,1.0
twin-0089,twin-0095,contact,1.0
twin-0089,twin-0096,contact,1.0
twin-0089,twin-0097,contact,1.0
twin-0090,twin-0091,contact,1.0
twin-0090,twin-0092,contact,1.0
twin-0090,twin-0093,contact,1.0
twin-0090,twin-0094,contact,1.0
twin-0090,twin-0095,contact,1.0
twin-0090,twin-0096,contact,1.0
twin-0091,twin-0092,contact,1.0
twin-0091,twin-0093,contact,1.0
twin-0091,twin-0094,contact,1.0
twin-0091,twin-0095,contact,1.0
twin-0091,twin-0096,contact,1.0
twin-0092,twin-0093,contact,1.0
twin-0092,twin-0094,contact,1.0
twin-0092,twin-0095,contact,1.0
twin-0092,twin-0096,contact,1.0
twin-0092,twin-0100,contact,1.0
twin-0093,twin-0094,contact,1.0
twin-0093,twin-0095,contact,1.0
twin-0093,twin-0096,contact,1.0
twin-0094,twin-0095,contact,1.0
twin-0094,twin-0096,contact,1.0
twin-0095,twin-0096,contact,1.0
twin-0097,twin-0098,contact,1.0
twin-0097,twin-0099,contact,1.0
twin-0097,twin-0100,contact,1.0
twin-0097,twin-0101,contact,1.0
twin-0097,twin-0102,contact,1.0
twin-0097,twin-0103,contact,1.0
twin-0097,twin-0104,contact,1.0
twin-0097,twin-0105,contact,1.0
twin-0098,twin-0099,contact,1.0
twin-0098,twin-0100,contact,1.0
twin-0098,twin-0101,contact,1.0
twin-0098,twin-0102,contact,1.0
twin-0098,twin-0103,contact,1.0
twin-0098,twin-0104,contact,1.0
twin-0099,twin-0100,contact,1.0
twin-0099,twin-0101,contact,1.0
twin-0099,twin-0102,contact,1.0
twin-0099,twin-0103,contact,1.0
twin-0099,twin-0104,contact,1.0
twin-0100,twin-0101,contact,1.0
twin-0100,twin-0102,contact,1.0
twin-0100,twin-0103,contact,1.0
twin-0100,twin-0104,contact,1.0
twin-0100,twin-0108,contact,1.0
twin-0101,twin-0102,contact,1.0
twin-0101,twin-0103,contact,1.0
twin-0101,twin-0104,contact,1.0
twin-0102,twin-0103,contact,1.0
twin-0102,twin-0104,contact,1.0
twin-0103,twin-0104,contact,1.0
twin-0105,twin-0106,contact,1.0
twin-0105,twin-0107,contact,1.0
twin-0105,twin-0108,contact,1.0
twin-0105,twin-0109,contact,1.0
twin-0105,twin-0110,contact,1.0
twin-0105,twin-0111,contact,1.0
twin-0105,twin-0112,contact,1.0
twin-0105,twin-0113,contact,1.0
twin-0106,twin-0107,contact,1.0
twin-0106,twin-0108,contact,1.0
twin-0106,twin-0109,contact,1.0
twin-0106,twin-0110,contact,1.0
twin-0106,twin-0111,contact,1.0
twin-0106,twin-0112,contact,1.0
twin-0107,twin-0108,contact,1.0
twin-0107,twin-0109,contact,1.0
twin-0107,twin-0110,contact,1.0
twin-0107,twin-0111,contact,1.0
twin-0107,twin-0112,contact,1.0
twin-0108,twin-0109,contact,1.0
twin-0108,twin-0110,contact,1.0
twin-0108,twin-0111,contact,1.0
twin-0108,twin-0112,contact,1.0
twin-0108,twin-0116,contact,1.0
twin-0109,twin-0110,contact,1.0
twin-0109,twin-0111,contact,1.0
twin-0109,twin-0112,contact,1.0
twin-0110,twin-0111,contact,1.0
twin-0110,twin-0112,contact,1.0
twin-0111,twin-0112,contact,1.0
twin-0113,twin-0114,contact,1.0
twin-0113,twin-0115,contact,1.0
twin-0113,twin-0116,contact,1.0
twin-0113,twin-0117,contact,1.0
twin-0113,twin-0118,contact,1.0
twin-0113,twin-0119,contact,1.0
twin-0113,twin-0120,contact,1.0
twin-0113,twin-0121,contact,1.0
twin-0114,twin-0115,contact,1.0
twin-0114,twin-0116,contact,1.0
twin-0114,twin-0117,contact,1.0
twin-0114,twin-0118,contact,1.0
twin-0114,twin-0119,contact,1.0
twin-0114,twin-0120,contact,1.0
twin-0115,twin-0116,contact,1.0
twin-0115,twin-0117,contact,1.0
twin-0115,twin-0118,contact,1.0
twin-0115,twin-0119,contact,1.0
twin-0115,twin-0120,contact,1.0
twin-0116,twin-0117,contact,1.0
twin-0116,twin-0118,contact,1.0
twin-0116,twin-0119,contact,1.0
twin-0116,twin-0120,contact,1.0
twin-0116,twin-0124,contact,1.0
twin-0117,twin-0118,contact,1.0
twin-0117,twin-0119,contact,1.0
twin-0117,twin-0120,contact,1.0
twin-0118,twin-0119,contact,1.0
twin-0118,twin-0120,contact,1.0
twin-0119,twin-0120,contact,1.0
twin-0121,twin-0122,contact,1.0
twin-0121,twin-0123,contact,1.0
twin-0121,twin-0124,contact,1.0
twin-0121,twin-0125,contact,1.0
twin-0121,twin-0126,contact,1.0
twin-0121,twin-0127,contact,1.0
twin-0121,twin-0128,contact,1.0
twin-0121,twin-0129,contact,1.0
twin-0122,twin-0123,contact,1.0
twin-0122,twin-0124,contact,1.0
twin-0122,twin-0125,contact,1.0
twin-0122,twin-0126,contact,1.0
twin-0122,twin-0127,contact,1.0
twin-0122,twin-0128,contact,1.0
twin-0123,twin-0124,contact,1.0
twin-0123,twin-0125,contact,1.0
twin-0123,twin-0126,contact,1.0
twin-0123,twin-0127,contact,1.0
twin-0123,twin-0128,contact,1.0
twin-0124,twin-0125,contact,1.0
twin-0124,twin-0126,contact,1.0
twin-0124,twin-0127,contact,1.0
twin-0124,twin-0128,contact,1.0
twin-0124,twin-0132,contact,1.0
twin-0125,twin-0126,contact,1.0
twin-0125,twin-0127,contact,1.0
twin-0125,twin-0128,contact,1.0
twin-0126,twin-0127,contact,1.0
twin-0126,twin-0128,contact,1.0
twin-0127,twin-0128,contact,1.0
twin-0129,twin-0130,contact,1.0
twin-0129,twin-0131,contact,1.0
twin-0129,twin-0132,contact,1.0
twin-0129,twin-0133,contact,1.0
twin-0129,twin-0134,contact,1.0
twin-0129,twin-0135,contact,1.0
twin-0129,twin-0136,contact,1.0
twin-0129,twin-0137,contact,1.0
twin-0130,twin-0131,contact,1.0
twin-0130,twin-0132,contact,1.0
twin-0130,twin-0133,contact,1.0
twin-0130,twin-0134,contact,1.0
twin-0130,twin-0135,contact,1.0
twin-0130,twin-0136,contact,1.0
twin-0131,twin-0132,contact,1.0
twin-0131,twin-0133,contact,1.0
twin-0131,twin-0134,contact,1.0
twin-0131,twin-0135,contact,1.0
twin-0131,twin-0136,contact,1.0
twin-0132,twin-0133,contact,1.0
twin-0132,twin-0134,contact,1.0
twin-0132,twin-0135,contact,1.0
twin-0132,twin-0136,contact,1.0
twin-0132,twin-0140,contact,1.0
twin-0133,twin-0134,contact,1.0
twin-0133,twin-0135,contact,1.0
twin-0133,twin-0136,contact,1.0
twin-0134,twin-0135,contact,1.0
twin-0134,twin-0136,contact,1.0
twin-0135,twin-0136,contact,1.0
twin-0137,twin-0138,contact,1.0
twin-0137,twin-0139,contact,1.0
twin-0137,twin-0140,contact,1.0
twin-0137,twin-0141,contact,1.0
twin-0137,twin-0142,contact,1.0
twin-0137,twin-0143,contact,1.0
twin-0137,twin-0144,contact,1.0
twin-0138,twin-0139,contact,1.0
twin-0138,twin-0140,contact,1.0
twin-0138,twin-0141,contact,1.0
twin-0138,twin-0142,contact,1.0
twin-0138,twin-0143,contact,1.0
twin-0139,twin-0140,contact,1.0
twin-0139,twin-0141,contact,1.0
twin-0139,twin-0142,contact,1.0
twin-0139,twin-0143,contact,1.0
twin-0140,twin-0141,contact,1.0
twin-0140,twin-0142,contact,1.0
twin-0140,twin-0143,contact,1.0
twin-0140,twin-0147,contact,1.0
twin-0141,twin-0142,contact,1.0
twin-0141,twin-0143,contact,1.0
twin-0142,twin-0143,contact,1.0
twin-0144,twin-0145,contact,1.0
twin-0144,twin-0146,contact,1.0
twin-0144,twin-0147,contact,1.0
twin-0144,twin-0148,contact,1.0
twin-0144,twin-0149,contact,1.0
twin-0144,twin-0150,contact,1.0
twin-0145,twin-0146,contact,1.0
twin-0145,twin-0147,contact,1.0
twin-0145,twin-0148,contact,1.0
twin-0145,twin-0149,contact,1.0
twin-0145,twin-0150,contact,1.0
twin-0146,twin-0147,contact,1.0
twin-0146,twin-0148,contact,1.0
twin-0146,twin-0149,contact,1.0
twin-0146,twin-0150,contact,1.0
twin-0147,twin-0148,contact,1.0
twin-0147,twin-0149,contact,1.0
twin-0147,twin-0150,contact,1.0
twin-0148,twin-0149,contact,1.0
twin-0148,twin-0150,contact,1.0
twin-0149,twin-0150,contact,1.0
twin-0001,twin-0002,org_hierarchy,0.9
twin-0001,twin-0003,org_hierarchy,0.9
twin-0001,twin-0004,org_hierarchy,0.9
twin-0001,twin-0005,org_hierarchy,0.9
twin-0001,twin-0006,org_hierarchy,0.9
twin-0001,twin-0007,org_hierarchy,0.9
twin-0001,twin-0008,org_hierarchy,0.9
twin-0002,twin-0003,org_hierarchy,0.9
twin-0002,twin-0004,org_hierarchy,0.9
twin-0002,twin-0005,org_hierarchy,0.9
twin-0002,twin-0006,org_hierarchy,0.9
twin-0002,twin-0007,org_hierarchy,0.9
twin-0002,twin-0008,org_hierarchy,0.9
twin-0003,twin-0004,org_hierarchy,0.9
twin-0003,twin-0005,org_hierarchy,0.9
twin-0003,twin-0006,org_hierarchy,0.9
twin-0003,twin-0007,org_hierarchy,0.9
twin-0003,twin-0008,org_hierarchy,0.9
twin-0004,twin-0005,org_hierarchy,0.9
twin-0004,twin-0006,org_hierarchy,0.9
twin-0004,twin-0007,org_hierarchy,0.9
twin-0004,twin-0008,org_hierarchy,0.9
twin-0005,twin-0006,org_hierarchy,0.9
twin-0005,twin-0007,org_hierarchy,0.9
twin-0005,twin-0008,org_hierarchy,0.9
twin-0006,twin-0007,org_hierarchy,0.9
twin-0006,twin-0008,org_hierarchy,0.9
twin-0007,twin-0008,org_hierarchy,0.9
twin-0009,twin-0010,org_hierarchy,0.9
twin-0009,twin-0011,org_hierarchy,0.9
twin-0009,twin-0012,org_hierarchy,0.9
twin-0009,twin-0013,org_hierarchy,0.9
twin-0009,twin-0014,org_hierarchy,0.9
twin-0009,twin-0015,org_hierarchy,0.9
twin-0009,twin-0016,org_hierarchy,0.9
twin-0010,twin-0011,org_hierarchy,0.9
twin-0010,twin-0012,org_hierarchy,0.9
twin-0010,twin-0013,org_hierarchy,0.9
twin-0010,twin-0014,org_hierarchy,0.9
twin-0010,twin-0015,org_hierarchy,0.9
twin-0010,twin-0016,org_hierarchy,0.9
twin-0011,twin-0012,org_hierarchy,0.9
twin-0011,twin-0013,org_hierarchy,0.9
twin-0011,twin-0014,org_hierarchy,0.9
twin-0011,twin-0015,org_hierarchy,0.9
twin-0011,twin-0016,org_hierarchy,0.9
twin-0012,twin-0013,org_hierarchy,0.9
twin-0012,twin-0014,org_hierarchy,0.9
twin-0012,twin-0015,org_hierarchy,0.9
twin-0012,twin-0016,org_hierarchy,0.9
twin-0013,twin-0014,org_hierarchy,0.9
twin-0013,twin-0015,org_hierarchy,0.9
twin-0013,twin-0016,org_hierarchy,0.9
twin-0014,twin-0015,org_hierarchy,0.9
twin-0014,twin-0016,org_hierarchy,0.9
twin-0015,twin-0016,org_hierarchy,0.9
twin-0017,twin-0018,org_hierarchy,0.9
twin-0017,twin-0019,org_hierarchy,0.9
twin-0017,twin-0020,org_hierarchy,0.9
twin-0017,twin-0021,org_hierarchy,0.9
twin-0017,twin-0022,org_hierarchy,0.9
twin-0017,twin-0023,org_hierarchy,0.9
twin-0017,twin-0024,org_hierarchy,0.9
twin-0018,twin-0019,org_hierarchy,0.9
twin-0018,twin-0020,org_hierarchy,0.9
twin-0018,twin-0021,org_hierarchy,0.9
twin-0018,twin-0022,org_hierarchy,0.9
twin-0018,twin-0023,org_hierarchy,0.9
twin-0018,twin-0024,org_hierarchy,0.9
twin-0019,twin-0020,org_hierarchy,0.9
twin-0019,twin-0021,org_hierarchy,0.9
twin-0019,twin-0022,org_hierarchy,0.9
twin-0019,twin-0023,org_hierarchy,0.9
twin-0019,twin-0024,org_hierarchy,0.9
twin-0020,twin-0021,org_hierarchy,0.9
twin-0020,twin-0022,org_hierarchy,0.9
twin-0020,twin-0023,org_hierarchy,0.9
twin-0020,twin-0024,org_hierarchy,0.9
twin-0021,twin-0022,org_hierarchy,0.9
twin-0021,twin-0023,org_hierarchy,0.9
twin-0021,twin-0024,org_hierarchy,0.9
twin-0022,twin-0023,org_hierarchy,0.9
twin-0022,twin-0024,org_hierarchy,0.9
twin-0023,twin-0024,org_hierarchy,0.9
twin-0025,twin-0026,org_hierarchy,0.9
twin-0025,twin-0027,org_hierarchy,0.9
twin-0025,twin-0028,org_hierarchy,0.9
twin-0025,twin-0029,org_hierarchy,0.9
twin-0025,twin-0030,org_hierarchy,0.9
twin-0025,twin-0031,org_hierarchy,0.9
twin-0025,twin-0032,org_hierarchy,0.9
twin-0026,twin-0027,org_hierarchy,0.9
twin-0026,twin-0028,org_hierarchy,0.9
twin-0026,twin-0029,org_hierarchy,0.9
twin-0026,twin-0030,org_hierarchy,0.9
twin-0026,twin-0031,org_hierarchy,0.9
twin-0026,twin-0032,org_hierarchy,0.9
twin-0027,twin-0028,org_hierarchy,0.9
twin-0027,twin-0029,org_hierarchy,0.9
twin-0027,twin-0030,org_hierarchy,0.9
twin-0027,twin-0031,org_hierarchy,0.9
twin-0027,twin-0032,org_hierarchy,0.9
twin-0028,twin-0029,org_hierarchy,0.9
twin-0028,twin-0030,org_hierarchy,0.9
twin-0028,twin-0031,org_hierarchy,0.9
twin-0028,twin-0032,org_hierarchy,0.9
twin-0029,twin-0030,org_hierarchy,0.9
twin-0029,twin-0031,org_hierarchy,0.9
twin-0029,twin-0032,org_hierarchy,0.9
twin-0030,twin-0031,org_hierarchy,0.9
twin-0030,twin-0032,org_hierarchy,0.9
twin-0031,twin-0032,org_hierarchy,0.9
twin-0033,twin-0034,org_hierarchy,0.9
twin-0033,twin-0035,org_hierarchy,0.9
twin-0033,twin-0036,org_hierarchy,0.9
twin-0033,twin-0037,org_hierarchy,0.9
twin-0033,twin-0038,org_hierarchy,0.9
twin-0033,twin-0039,org_hierarchy,0.9
twin-0033,twin-0040,org_hierarchy,0.9
twin-0034,twin-0035,org_hierarchy,0.9
twin-0034,twin-0036,org_hierarchy,0.9
twin-0034,twin-0037,org_hierarchy,0.9
twin-0034,twin-0038,org_hierarchy,0.9
twin-0034,twin-0039,org_hierarchy,0.9
twin-0034,twin-0040,org_hierarchy,0.9
twin-0035,twin-0036,org_hierarchy,0.9
twin-0035,twin-0037,org_hierarchy,0.9
twin-0035,twin-0038,org_hierarchy,0.9
twin-0035,twin-0039,org_hierarchy,0.9
twin-0035,twin-0040,org_hierarchy,0.9
twin-0036,twin-0037,org_hierarchy,0.9
twin-0036,twin-0038,org_hierarchy,0.9
twin-0036,twin-0039,org_hierarchy,0.9
twin-0036,twin-0040,org_hierarchy,0.9
twin-0037,twin-0038,org_hierarchy,0.9
twin-0037,twin-0039,org_hierarchy,0.9
twin-0037,twin-0040,org_hierarchy,0.9
twin-0038,twin-0039,org_hierarchy,0.9
twin-0038,twin-0040,org_hierarchy,0.9
twin-0039,twin-0040,org_hierarchy,0.9
twin-0041,twin-0042,org_hierarchy,0.9
